Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
Special Notes:,,,,,,,,,,,
Type,Message,,,,,,,,,,
Vegetables,Price of Cabbage declined in Pettah market compared to yesterday due to favourable supply from Nuwara Eliya area.,Price of Cabbage declined in Pettah market compared to yesterday due to favourable supply from Nuwara Eliya area.,,,,,,,,,
Vegetables,Price of Tomato declined in Pettah market compared to yesterday due to favourable supply from Embilipitiya and Sooriyawewa areas.,Price of Tomato declined in Pettah market compared to yesterday due to favourable supply from Embilipitiya and Sooriyawewa areas.,,,,,,,,,
Vegetables,Price of Brinjal increased in Dambulla market compared to yesterday due to limited supply from Kalpitiya and Kekirawa areas.,Price of Brinjal increased in Dambulla market compared to yesterday due to limited supply from Kalpitiya and Kekirawa areas.,,,,,,,,,
Vegetables,Price of Green Chilli declined in both Pettah and Dambulla markets compared to yesterday due to favourable supply from Jaffna/Puttalam and Galewela/Bakamuna areas respectively.,Price of Green Chilli declined in both Pettah and Dambulla markets compared to yesterday due to favourable supply from Jaffna/Puttalam and Galewela/Bakamuna areas respectively.,,,,,,,,,
Fish,Wholesale price of Linna declined in both Peliyagoda and Negombo fish markets compared to yesterday due to favourable supply from Southern coastal area.,Wholesale price of Linna declined in both Peliyagoda and Negombo fish markets compared to yesterday due to favourable supply from Southern coastal area.,,,,,,,,,
Vegetables,Price of Local Potato increased in Pettah market compared to yesterday due to limited supply from Nuwara Eliya area.,Price of Local Potato increased in Pettah market compared to yesterday due to limited supply from Nuwara Eliya area.,,,,,,,,,
Other,Price of Coconut increased in Dambulla market compared to yesterday due to limited supply from Melsiripura and Yatawatta areas.,Price of Coconut increased in Dambulla market compared to yesterday due to limited supply from Melsiripura and Yatawatta areas.,,,,,,,,,
,,,,,,,,,,,
Item-name,Unit,category,Wholesale-Pettah-today,Wholesale-Pettah-yesterday,Wholesale-Dambulla-today,Wholesale-Dambulla-yesterday,Retail-Pettah-today,Retail-Pettah-yesterday,Retail-Dambulla-today,Retail-Dambulla-yesterday,
Beans,Rs./kg,VEGETABLES,600.00,550.00,475.00,460.00,650.00,600.00,505.00,490.00,
Carrot,Rs./kg,VEGETABLES,400.00,450.00,445.00,440.00,450.00,500.00,475.00,470.00,
Cabbage,Rs./kg,VEGETABLES,350.00,400.00,295.00,310.00,400.00,450.00,325.00,340.00,
Tomato,Rs./kg,VEGETABLES,300.00,350.00,225.00,220.00,350.00,400.00,255.00,250.00,
Brinjal,Rs./kg,VEGETABLES,450.00,450.00,275.00,225.00,500.00,500.00,305.00,255.00,
Pumpkin,Rs./kg,VEGETABLES,120.00,120.00,113.00,105.00,170.00,170.00,143.00,135.00,
Snake gourd,Rs./kg,VEGETABLES,130.00,130.00,115.00,125.00,180.00,180.00,145.00,155.00,
Green Chilli,Rs./kg,VEGETABLES,500.00,600.00,445.00,490.00,550.00,650.00,475.00,520.00,
Lime,Rs./kg,VEGETABLES,350.00,250.00,175.00,190.00,400.00,300.00,205.00,220.00,
Red Onion (Local),Rs./kg,VEGETABLES,370.00,367.00,,,,,,,
Red Onion (Imp),Rs./kg,VEGETABLES,347.00,350.00,325.00,295.00,450.00,450.00,345.00,315.00,
Big Onion (Imp),Rs./kg,VEGETABLES,101.00,96.00,100.00,103.00,130.00,130.00,120.00,123.00,
Potato (Local),Rs./kg,VEGETABLES,340.00,330.00,250.00,350.00,400.00,270.00,,,
Potato (Imp),Rs./kg,VEGETABLES,146.00,156.00,143.00,153.00,195.00,195.00,163.00,173.00,
Dried Chilli (Imp),Rs./kg,VEGETABLES,550.00,550.00,535.00,535.00,700.00,700.00,565.00,565.00,
Coconut (Avg.),Rs./Nut,OTHER,160.00,160.00,143.00,133.00,220.00,220.00,148.00,138.00,
Red Dhal,Rs./kg,OTHER,250.00,250.00,270.00,270.00,,,,,
Sugar (White),Rs./kg,OTHER,216.00,215.00,230.00,230.00,,,,,
Egg (White),Rs./Each,OTHER,34.00,34.00,34.50,34.50,,,,,
Katta (Imp),Rs./kg,FISH,,,,,1600.00,1600.00,1950.00,1950.00,
Sprat (Imp),Rs./kg,FISH,,,,,850.00,850.00,1000.00,1000.00,
Banana (Sour),Rs./kg,FRUIT,100.00,100.00,45.00,43.00,150.00,150.00,75.00,73.00,
Papaw,Rs./kg,FRUIT,80.00,80.00,75.00,75.00,120.00,120.00,105.00,105.00,
Pineapple,Rs./kg,FRUIT,,335.00,395.00,325.00,325.00,365.00,425.00,,
Apple (Imp),Rs./Each,FRUIT,,,,,190.00,190.00,250.00,250.00,
Orange (Imp),Rs./Each,FRUIT,,,,,200.00,200.00,260.00,300.00,
Samba,Rs./kg,RICE,235.00,235.00,237.00,238.00,240.00,240.00,244.00,244.00,
Nadu,Rs./kg,RICE,225.00,225.00,219.00,221.00,230.00,230.00,235.00,235.00,
Kekulu (White),Rs./kg,RICE,215.00,215.00,209.00,209.00,220.00,220.00,222.00,222.00,
Kekulu (Red),Rs./kg,RICE,215.00,215.00,212.00,212.00,220.00,220.00,222.00,222.00,
Ponni Samba (Imp),Rs./kg,RICE,228.00,228.00,,,235.00,235.00,,,
Nadu (Imp),Rs./kg,RICE,210.00,210.00,,,220.00,220.00,220.00,220.00,
Kekulu (White) (Imp),Rs./kg,RICE,208.00,208.00,,,220.00,220.00,210.00,210.00,
