Special Notes:,,,,,,,,,,
Type,Message,,,,,,,,,
Vegetables,Price of White Egg declined in Pettah market compared to yesterday reportedly due to low demand.,Price of White Egg declined in Pettah market compared to yesterday reportedly due to low demand.,,,,,,,,
Fish,Price of White Egg declined in Pettah market compared to yesterday reportedly due to low demand.,Price of White Egg declined in Pettah market compared to yesterday reportedly due to low demand.,,,,,,,,
Others,Price of White Egg declined in Pettah market compared to yesterday reportedly due to low demand.,Price of White Egg declined in Pettah market compared to yesterday reportedly due to low demand.,,,,,,,,
,,,,,,,,,,
Item-name,Unit,category,Wholesale-Pettah-today,Wholesale-Pettah-yesterday,Wholesale-Dambulla-today,Wholesale-Dambulla-yesterday,Retail-Pettah-today,Retail-Pettah-yesterday,Retail-Dambulla-today,Retail-Dambulla-yesterday
Beans,Rs./kg,VEGETABLES,400,200,400,200,400,200,400,200
carrot,Rs./kg,VEGETABLES,400,200,400,200,400,200,400,200
spanish,Rs./kg,VEGETABLES,400,200,400,200,400,200,400,200
kelawalla,Rs./kg,FISH,400,200,400,200,400,200,400,200
balaya,Rs./kg,FRUIT,400,200,400,200,400,200,400,200
