Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
Special Notes:,,,,,,,,,,,
Type,Message,,,,,,,,,,
Vegetables,Price of Beans increased further in Dambulla market compared to yesterday due to limited supply from Yatawatta and Dambulla areas.,Price of Beans increased further in Dambulla market compared to yesterday due to limited supply from Yatawatta and Dambulla areas.,,,,,,,,,
Vegetables,Price of Carrot increased further in Dambulla market compared to yesterday due to limited supply from Nuwara Eliya and Bandarawela areas.,Price of Carrot increased further in Dambulla market compared to yesterday due to limited supply from Nuwara Eliya and Bandarawela areas.,,,,,,,,,
Vegetables,Price of Cabbage declined further in Pettah market compared to yesterday due to favourable supply from Kandy and Nuwara Eliya areas.,Price of Cabbage declined further in Pettah market compared to yesterday due to favourable supply from Kandy and Nuwara Eliya areas.,,,,,,,,,
Vegetables,Price of Green Chilli increased in both Pettah and Dambulla markets compared to yesterday due to limited supply from Nochchiyagama/Puttalam and Galewela/Hanguranketha areas respectively.,Price of Green Chilli increased in both Pettah and Dambulla markets compared to yesterday due to limited supply from Nochchiyagama/Puttalam and Galewela/Hanguranketha areas respectively.,,,,,,,,,
Fish,Wholesale price of Salaya declined further in both Peliyagoda and Negombo fish markets compared to yesterday due to favourable supply from Northern coastal area.,Wholesale price of Salaya declined further in both Peliyagoda and Negombo fish markets compared to yesterday due to favourable supply from Northern coastal area.,,,,,,,,,
Vegetables,Price of Imported Red Onion declined in Dambulla market compared to yesterday due to high availability of Indian varieties.,Price of Imported Red Onion declined in Dambulla market compared to yesterday due to high availability of Indian varieties.,,,,,,,,,
Vegetables,Price of Local Potato declined in Pettah market compared to yesterday due to favourable supply from Nuwara Eliya area.,Price of Local Potato declined in Pettah market compared to yesterday due to favourable supply from Nuwara Eliya area.,,,,,,,,,
,,,,,,,,,,,
Item-name,Unit,category,Wholesale-Pettah-today,Wholesale-Pettah-yesterday,Wholesale-Dambulla-today,Wholesale-Dambulla-yesterday,Retail-Pettah-today,Retail-Pettah-yesterday,Retail-Dambulla-today,Retail-Dambulla-yesterday,
Beans,Rs./kg,VEGETABLES,600.00,600.00,545.00,475.00,650.00,650.00,575.00,505.00,
Carrot,Rs./kg,VEGETABLES,350.00,400.00,475.00,445.00,450.00,450.00,505.00,475.00,
Cabbage,Rs./kg,VEGETABLES,300.00,350.00,295.00,295.00,350.00,400.00,325.00,325.00,
Tomato,Rs./kg,VEGETABLES,250.00,300.00,245.00,225.00,300.00,350.00,275.00,255.00,
Brinjal,Rs./kg,VEGETABLES,400.00,450.00,375.00,275.00,450.00,500.00,405.00,305.00,
Pumpkin,Rs./kg,VEGETABLES,120.00,120.00,105.00,113.00,170.00,170.00,135.00,143.00,
Snake gourd,Rs./kg,VEGETABLES,130.00,130.00,115.00,115.00,180.00,180.00,145.00,145.00,
Green Chilli,Rs./kg,VEGETABLES,550.00,500.00,575.00,445.00,600.00,550.00,605.00,475.00,
Lime,Rs./kg,VEGETABLES,200.00,350.00,215.00,175.00,250.00,400.00,245.00,205.00,
Red Onion (Local),Rs./kg,VEGETABLES,370.00,370.00,,,,,,,
Red Onion (Imp),Rs./kg,VEGETABLES,350.00,347.00,295.00,325.00,450.00,450.00,315.00,345.00,
Big Onion (Imp),Rs./kg,VEGETABLES,88.00,101.00,105.00,100.00,130.00,130.00,125.00,120.00,
Potato (Local),Rs./kg,VEGETABLES,320.00,340.00,215.00,,350.00,400.00,235.00,,
Potato (Imp),Rs./kg,VEGETABLES,153.00,146.00,143.00,143.00,195.00,195.00,163.00,163.00,
Dried Chilli (Imp),Rs./kg,VEGETABLES,550.00,550.00,535.00,535.00,700.00,700.00,565.00,565.00,
Coconut (Avg.),Rs./Nut,OTHER,155.00,160.00,145.00,143.00,220.00,220.00,150.00,148.00,
Red Dhal,Rs./kg,OTHER,250.00,250.00,270.00,270.00,,,,,
Sugar (White),Rs./kg,OTHER,216.00,216.00,230.00,230.00,,,,,
Egg (White),Rs./Each,OTHER,34.00,34.00,34.50,34.50,,,,,
Katta (Imp),Rs./kg,FISH,,,,,1600.00,1600.00,1950.00,1950.00,
Sprat (Imp),Rs./kg,FISH,,,,,850.00,850.00,1000.00,1000.00,
Banana (Sour),Rs./kg,FRUIT,80.00,100.00,55.00,45.00,130.00,150.00,85.00,75.00,
Papaw,Rs./kg,FRUIT,80.00,80.00,80.00,75.00,120.00,120.00,110.00,105.00,
Pineapple,Rs./kg,FRUIT,,350.00,335.00,325.00,325.00,380.00,365.00,,
Apple (Imp),Rs./Each,FRUIT,,,,,190.00,190.00,250.00,250.00,
Orange (Imp),Rs./Each,FRUIT,,,,,200.00,200.00,260.00,260.00,
Samba,Rs./kg,RICE,235.00,235.00,238.00,237.00,240.00,240.00,244.00,244.00,
Nadu,Rs./kg,RICE,225.00,225.00,219.00,219.00,230.00,230.00,235.00,235.00,
Kekulu (White),Rs./kg,RICE,215.00,215.00,209.00,209.00,220.00,220.00,222.00,222.00,
Kekulu (Red),Rs./kg,RICE,215.00,215.00,212.00,212.00,220.00,220.00,222.00,222.00,
Ponni Samba (Imp),Rs./kg,RICE,230.00,228.00,,,235.00,235.00,,,
Nadu (Imp),Rs./kg,RICE,210.00,210.00,,,220.00,220.00,220.00,220.00,
Kekulu (White) (Imp),Rs./kg,RICE,208.00,208.00,,,220.00,220.00,210.00,210.00,
